GTR1 ID,Index,Ticker Symbol,Company Name,CUSIP,field1=styp.a,field2=dspo:1,field16=ord:1,field10=perendq1.s,[Q1End],"field17=linear:1,field16,-1,field12",field39=sic.a,"field40=if:field39et6510!6512!6531!6798,1,0",[RealEstOps],field42=trbc2.s,"field43=ifet:field42,55,1,0",field46=fincd12.a,[Finance],[Financial],field3=shrinst.s,field4=float.s,field5=epsq1.s,field6=epsq5.s,field7=salesq1.s,field8=salesq5.s,"field9=trp:1,126","field13=agv:1,10",field18=gtoa.a,"field19=ratio:field13,field18","field20=linear:1,field5,-1,field6","field21=linear:1,field7,-1,field8",field24=csoq1d.s,field25=sprc,"field26=product:field24,field25",[MktCap],field31=fcfps12mq1d.s,"field32=ratio:field25,field31",[PFCF],"field14=agv:1,63",[VR],"field36=ratio:field14,field18","field37=ratio:field9,field36",[SORT],,,,,,
40436,4793,AOSL,ALPHA AND OMEGA SEMICONDUCTOR LTD,'G6331P104,12,2799,25247,25197,25197,50,9999,0,0,57,0,12,0,0,60.5,20.673,0.622,-0.261,169.2,106.9,14.76408,2768730,16.80849,164722.1,0.883,62.3,26.09211,30.16,786.9379,786.9379,3.95,7.635443,7.635443,4387686,0.6310228,261039.8,5.655874E-05,3.568986E-05,,,,,,
21698,3767,DGII,DIGI INTERNATIONAL INC,'253798102,11,7982,25247,25197,25197,50,3577,0,0,57,0,6,0,0,84.2,33.431,0.095,0.069,77.3,73.4,11.01072,421055.8,2.952065,142630.9,0.026,3.900002,34.0308,19.66,669.0455,669.0455,2.24,8.776785,8.776785,629008.6,0.6693958,213074.1,5.167554E-05,3.459139E-05,,,,,,
39353,7471,ULTA,ULTA BEAUTY INC,'90384S303,11,3430,25247,25218,25218,29,5999,0,0,53,0,9,0,0,94.1,53.263,4.127,-1.392,1938.5,1173.2,22.78168,2.451516E+07,26.06518,940533.2,5.519,765.3,54.75747,338.46,18533.21,18533.21,18.05,18.75125,18.75125,2.076365E+07,1.180677,796605.2,2.859846E-05,3.376554E-05,,,,,,
29893,7204,SYKE,SYKES ENTERPRISES INC,'871237103,11,6322,25247,25197,25197,50,7376,0,0,57,0,6,0,0,93,38.921,0.63,0.338,457.9,411.2,5.264485,1199268,13.72838,87356.9,0.292,46.69998,39.77821,41.79,1662.331,1662.331,3.41,12.25513,12.25513,1616296,0.7419857,117733.9,4.47151E-05,3.317797E-05,,,,,,
26237,4681,UHS,UNIVERSAL HEALTH SERVICES INC,'913903100,11,10067,25247,25197,25197,50,8062,0,0,56,0,10,0,0,96.9,66.751,2.46,1.643,3013,2829.7,20.09059,483277.1,0.7525451,642190.2,0.817,183.3,85.22347,160.38,13668.14,13668.14,22.37,7.169423,7.169423,469887.6,1.028495,624397.9,3.217594E-05,3.309279E-05,,,,,,
42232,7572,CWH,CAMPING WORLD HOLDINGS INC CL A COMMOM STOCK,'13462K109,11,1176,25247,25197,25197,50,3792,0,0,53,0,2,0,0,80.9,42.472,1.43,-0.217,1557.8,1027.3,41.16668,2.442041E+07,18.74557,1302730,1.647,530.5,88.57004,39.38,3487.888,3487.888,10.71,3.676938,3.676938,2.399717E+07,1.017637,1280151,3.215766E-05,3.272483E-05,,,,,,
44462,4757,ENSG,THE ENSIGN GROUP INC,'29358P101,11,3419,25247,25197,25197,50,8051,0,0,56,0,10,0,0,90.8,51.987,0.908,0.764,627.3,589.6,11.24972,790525.6,3.172296,249196.7,0.144,37.70001,54.97696,84.33,4636.207,4636.207,6.16,13.68994,13.68994,930647.5,0.8494362,293367.2,3.83469E-05,3.257324E-05,,,,,,
8909,1056,WHR,WHIRLPOOL CORP,'963320106,11,16725,25247,25197,25197,50,3633,0,0,53,0,2,0,0,93.1,62.352,6.873,2.42,5358,4325,23.63528,113046.8,0.2118118,533713.3,4.453,1033,62.61677,225.93,14147.01,14147.01,27.98,8.074697,8.074697,132378.5,0.8539659,624981.9,3.781754E-05,3.229489E-05,,,,,,
21252,6466,MIDD,THE MIDDLEBY CORP,'596278101,11,8537,25247,25198,25198,49,3550,0,0,53,0,3,0,0,97.1,55.025,1.617,1.332,758.1,677.5,23.75457,346984.7,0.5327561,651301.2,0.285,80.59998,55.63269,169.42,9425.291,9425.291,8.389999,20.19309,20.19309,369103.1,0.9400753,692818.1,3.428688E-05,3.223225E-05,,,,,,
14908,2352,PCH,POTLATCHDELTIC CORP,'737630103,18,12988,25247,25197,25197,50,6798,1,1,60,0,11,0,0,86.1,64.71,1.951,-0.249,354.2,208.9,16.9358,258500.1,0.4889304,528705.3,2.2,145.3,67.04237,54.53,3655.821,3655.821,4.92,11.08333,11.08333,259630.2,0.9956471,531016.8,3.189316E-05,3.175433E-05,,,,,,
23393,4319,TTEK,TETRA TECH INC,'88162G103,11,7426,25247,25194,25194,53,8710,0,0,52,0,12,0,0,91.9,53.405,0.84,0.665,599.8,584.5,8.469784,338618.3,1.129639,299758,0.175,15.29999,54.16041,125.14,6777.633,6777.633,5.29,23.65595,23.65595,322452.4,1.050134,285447.3,2.967197E-05,3.115955E-05,,,,,,
